"","date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_ge_t7"
"455",2019-04-29,0,0,0,0,0,1,0,0
"456",2019-04-30,1,0,0,0,0,0,0,0
"457",2019-05-01,1,0,0,0,0,0,0,0
"458",2019-05-02,1,0,0,0,0,0,0,0
"459",2019-05-03,1,0,0,0,0,0,0,0
"460",2019-05-04,1,0,0,0,0,0,0,0
"461",2019-05-05,1,0,0,0,0,0,0,0
"462",2019-05-06,1,0,0,0,0,0,0,0
"463",2019-05-07,0,1,0,0,0,0,0,0
"464",2019-05-08,0,1,0,0,0,0,0,0
"465",2019-05-09,0,1,0,0,0,0,0,0
"466",2019-05-10,0,1,0,0,0,0,0,0
"467",2019-05-11,0,1,0,0,0,0,0,0
"468",2019-05-12,0,1,0,0,0,0,0,0
"469",2019-05-13,0,1,0,0,0,0,0,0
"470",2019-05-14,0,0,1,0,0,0,0,0
"471",2019-05-15,0,0,1,0,0,0,0,0
"472",2019-05-16,0,0,1,0,0,0,0,0
"473",2019-05-17,0,0,1,0,0,0,0,0
"474",2019-05-18,0,0,1,0,0,0,0,0
"475",2019-05-19,0,0,1,0,0,0,0,0
"476",2019-05-20,0,0,1,0,0,0,0,0
"477",2019-05-21,0,0,0,1,0,0,0,0
"478",2019-05-22,0,0,0,1,0,0,0,0
"479",2019-05-23,0,0,0,1,0,0,0,0
"480",2019-05-24,0,0,0,1,0,0,0,0
"481",2019-05-25,0,0,0,1,0,0,0,0
"482",2019-05-26,0,0,0,1,0,0,0,0
"483",2019-05-27,0,0,0,1,0,0,0,0
"484",2019-05-28,0,0,0,0,1,0,0,0
"485",2019-05-29,0,0,0,0,1,0,0,0
"486",2019-05-30,0,0,0,0,1,0,0,0
"487",2019-05-31,0,0,0,0,1,0,0,0
"488",2019-06-01,0,0,0,0,1,0,0,0
"489",2019-06-02,0,0,0,0,1,0,0,0
"490",2019-06-03,0,0,0,0,1,0,0,0
"491",2019-06-04,0,0,0,0,0,1,0,0
"492",2019-06-05,0,0,0,0,0,1,0,0
"493",2019-06-06,0,0,0,0,0,1,0,0
"494",2019-06-07,0,0,0,0,0,1,0,0
"495",2019-06-08,0,0,0,0,0,1,0,0
"496",2019-06-09,0,0,0,0,0,1,0,0
"497",2019-06-10,0,0,0,0,0,1,0,0
"498",2019-06-11,0,0,0,0,0,0,1,0
"499",2019-06-12,0,0,0,0,0,0,1,0
"500",2019-06-13,0,0,0,0,0,0,1,0
"501",2019-06-14,0,0,0,0,0,0,1,0
"502",2019-06-15,0,0,0,0,0,0,1,0
"503",2019-06-16,0,0,0,0,0,0,1,0
"504",2019-06-17,0,0,0,0,0,0,1,0
"505",2019-06-18,1,0,0,0,0,0,0,0
"506",2019-06-19,1,0,0,0,0,0,0,0
"507",2019-06-20,1,0,0,0,0,0,0,0
"508",2019-06-21,1,0,0,0,0,0,0,0
"509",2019-06-22,1,0,0,0,0,0,0,0
"510",2019-06-23,1,0,0,0,0,0,0,0
"511",2019-06-24,1,0,0,0,0,0,0,0
"512",2019-06-25,0,1,0,0,0,0,0,0
"513",2019-06-26,0,1,0,0,0,0,0,0
"514",2019-06-27,0,1,0,0,0,0,0,0
"515",2019-06-28,0,1,0,0,0,0,0,0
"516",2019-06-29,0,1,0,0,0,0,0,0
"517",2019-06-30,0,1,0,0,0,0,0,0
"518",2019-07-01,0,1,0,0,0,0,0,0
"519",2019-07-02,0,0,1,0,0,0,0,0
"520",2019-07-03,0,0,1,0,0,0,0,0
"521",2019-07-04,0,0,1,0,0,0,0,0
"522",2019-07-05,0,0,1,0,0,0,0,0
"523",2019-07-06,0,0,1,0,0,0,0,0
"524",2019-07-07,0,0,1,0,0,0,0,0
"525",2019-07-08,0,0,1,0,0,0,0,0
"526",2019-07-09,0,0,0,1,0,0,0,0
"527",2019-07-10,0,0,0,1,0,0,0,0
